IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
I-3642,2,Kg,1000,0.2857,P-25993
I-6026,5,Kg,1000,0.7143,P-25993
I-3388,60,ml,0.001,13.2275,P-26759
I-4546,5,Kg,2.20462,1.1023,P-26759
P-25993,5,g,0.001,1.1023,P-26759
I-12176,25,g,0.001,2.7174,P-62014
I-2051,45,g,0.001,4.8913,P-62014
I-3370,150,ml,1,16.3043,P-62014
I-70004,10,each,1,1.087,P-62014
I-11902,1.8,Kg,1,1,P-70677
I-11093,15,Kg,2.20462,0.5,P-7093
I-2205,2,L,1,0.0667,P-7093
I-2217,2,L,1,0.0667,P-7093
I-3647,20,g,0.001,0.6667,P-7093
I-6026,25,g,1,0.8333,P-7093
I-8060,908,g,1,30.2667,P-7093
I-2564,60,CT,1,1,P-71427
P-26759,100,g,0.001,1,R-62265
P-62014,140,g,0.001,1,R-62265
P-70677,60,ml,0.001,1,R-62265
P-7093,100,g,0.001,1,R-62265
I-3368,60,ml,1,1,R-71428
P-71427,1,each,1,1,R-71428
